"Model name","EStructuralFeature count","EENum count","EClass count","EDataType count","EMFCompare matchCount","Diagnostic count"
"Spirit_Spectre.cfg","339","0","65","274","188","0"
"13_The_Dwarven_Doors.cfg","2114","0","459","1655","996","0"
"Eyestalk.cfg","374","0","79","295","201","0"
"08_Glory.cfg","3069","0","628","2441","1511","0"
"Random_Scenario_Desert.cfg","809","0","135","674","498","0"
"Malin_Keshar.cfg","2447","0","356","2091","1575","0"
"sp_options_configure.cfg","283","0","68","215","125","0"
"Rabbit.cfg","200","0","45","155","102","0"
"Tentacle.cfg","631","0","134","497","321","0"
"event-utils.cfg","76","0","20","56","34","0"
"8p_Mokena_Prairie.cfg","336","0","80","256","159","0"
"game_save.cfg","302","0","75","227","130","0"
"13_The_Return_of_Trouble.cfg","1161","0","229","932","617","0"
"statistics_dialog.cfg","1361","0","336","1025","570","0"
"character-definitions.cfg","166","0","35","131","91","0"
"Marshal.cfg","366","0","82","284","172","0"
"Warrioress.cfg","224","0","44","180","125","0"
"Villagers.cfg","602","0","136","466","283","0"
"Dunefolk.cfg","63","0","16","47","32","0"
"Boat.cfg","68","0","17","51","34","0"
"internal-generic.cfg","1405","0","360","1045","487","0"
"07b_Undead_Crossing.cfg","924","0","202","722","428","0"
"scenario-movethrough.cfg","640","0","151","489","280","0"
"08_Ur_Thorodor.cfg","1030","0","221","809","500","0"
"addons.cfg","2526","0","485","2041","1204","0"
"Loyalist_Iron_Mauler.cfg","172","0","38","134","87","0"
"Wesbench_Shroud_Walk.cfg","2338","0","479","1859","938","0"
"22_Epilogue.cfg","146","0","34","112","65","0"
"A1.cfg","0","0","0","0","0","0"
"chatbox.cfg","366","0","92","274","150","0"
"addon_uninstall_list.cfg","418","0","104","314","178","0"
"text_box_default.cfg","605","0","143","462","256","0"
"05a_Muff_Malal_Peninsula.cfg","717","0","155","562","343","0"
"Skele_Sacrifice.cfg","99","0","24","75","47","0"
"httt_utils.cfg","2692","0","598","2094","1228","0"
"14_Human_Alliance.cfg","2112","0","425","1687","1094","0"
"12a_Get_the_Gold.cfg","1966","0","387","1579","997","0"
"listbox_default.cfg","357","0","83","274","146","0"
"Ruler.cfg","343","0","69","274","182","0"
"debug_clock.cfg","1024","0","233","791","478","0"
"A3.cfg","0","0","0","0","0","0"
"Wolf_Great.cfg","494","0","85","409","295","0"
"progressive.cfg","0","0","0","0","0","0"
"06b_The_Long_March.cfg","3498","0","648","2850","1909","0"
"03_display.cfg","668","0","162","506","281","0"
"brushes.cfg","179","0","44","135","79","0"
"test_move_unit.cfg","801","0","25","776","729","0"
"generators.cfg","294","0","69","225","124","0"
"09_Descent_into_Darkness.cfg","12584","0","2759","9825","5894","0"
"Alien_Spire.cfg","295","0","60","235","156","0"
"ANL_auto_working.cfg","857","0","185","672","406","0"
"mp_change_control.cfg","525","0","131","394","215","0"
"game_save_overwrite.cfg","254","0","63","191","109","0"
"scenario-poisoning.cfg","354","0","88","266","159","0"
"Ambusher.cfg","373","0","77","296","197","0"
"sg_story.cfg","677","0","116","561","381","0"
"02_Tutorial_part_2.cfg","3642","0","766","2876","1790","0"
"09_Blood_is_Thicker_Than_Water.cfg","8290","0","1705","6585","4197","0"
"items.cfg","320","0","76","244","138","0"
"Mage_White.cfg","558","0","127","431","256","0"
"movetypes.cfg","190","0","44","146","75","0"
"13_Epilogue.cfg","282","0","62","220","130","0"
"Small_Mudcrawler.cfg","132","0","29","103","64","0"
"sr_RS@ijekavianlatin.cfg","19","0","5","14","10","0"
"unit_list.cfg","1115","0","277","838","480","0"
"bg_BG.cfg","21","0","6","15","10","0"
"08b_Ray_of_Hope.cfg","3517","0","706","2811","1834","0"
"Cave_Serpent.cfg","33","0","8","25","16","0"
"Runemaster.cfg","260","0","47","213","153","0"
"simple_find_path.cfg","785","0","140","645","410","0"
"Wesfolk_Outcast.cfg","708","0","163","545","318","0"
"final_battle.cfg","476","0","116","360","194","0"
"01_Tutorial_part_1.cfg","3246","0","658","2588","1633","0"
"6p_Hexcake.cfg","260","0","62","198","123","0"
"pt_PT.cfg","17","0","5","12","8","0"
"Hoplite.cfg","226","0","48","178","118","0"
"06_Forbidden_Forest.cfg","1005","0","218","787","487","0"
"07b_A_Small_Favor2.cfg","3417","0","709","2708","1652","0"
"goal.cfg","199","0","35","164","106","0"
"engine.cfg","77","0","18","59","34","0"
"Loyalist_Sergeant.cfg","340","0","75","265","163","0"
"Protector.cfg","384","0","79","305","202","0"
"01_The_Morning_After.cfg","3805","0","805","3000","1867","0"
"Berserker.cfg","451","0","77","374","270","0"
"unit_attack.cfg","686","0","171","515","286","0"
"terrain.cfg","174","0","41","133","90","0"
"3p_Morituri.cfg","151","0","35","116","74","0"
"Rogue_Mage.cfg","337","0","64","273","189","0"
"07b_Protecting_the_Master.cfg","2146","0","488","1658","1038","0"
"editor_edit_scenario.cfg","712","0","176","536","311","0"
"toggle_panel_wml_message.cfg","193","0","46","147","79","0"
"toggle_button_icon.cfg","414","0","106","308","148","0"
"06_Uncharted_Islands.cfg","880","0","184","696","440","0"
"06_Return_to_Parthyn.cfg","2785","0","591","2194","1345","0"
"4t_The_Jeweler.cfg","1125","0","251","874","527","0"
"2p_Tombs_of_Kesorak.cfg","728","0","114","614","449","0"
"A2.cfg","0","0","0","0","0","0"
"garak-abilities.cfg","30","0","8","22","14","0"
"01_The_Raid.cfg","1406","0","270","1136","750","0"
"lobby_main.cfg","1913","0","444","1469","867","0"
"07a_The_Crossing.cfg","1314","0","294","1020","600","0"
"tooltip_floating.cfg","265","0","36","229","183","15"
"test_max_menu_items.cfg","388","0","8","380","367","0"
"06_Following_the_Shadow.cfg","1733","0","385","1348","811","0"
"Peasant.cfg","331","0","70","261","173","0"
"12_A_Final_Spring.cfg","2803","0","531","2272","1539","0"
"subst.cfg","13","0","4","9","6","3"
"Explorer.cfg","290","0","62","228","150","0"
"Fighter.cfg","309","0","69","240","149","0"
"10_Cliffs_of_Thoria.cfg","1284","0","279","1005","616","0"
"05b_Compelled.cfg","481","0","108","373","225","0"
"Divine_Avatar.cfg","289","0","63","226","142","0"
"Apprentice_Necromancer.cfg","634","0","134","500","331","0"
"bigmap.cfg","2324","0","441","1883","1072","0"
"Ringcaster.cfg","321","0","72","249","159","0"
"Vanguard.cfg","377","0","77","300","198","0"
"Wesbench_Scroll.cfg","298","0","74","224","122","0"
"Elder.cfg","239","0","54","185","114","0"
"06_The_Grey_Woods.cfg","1397","0","312","1085","661","0"
"rebels-aoh.cfg","93","0","13","80","67","0"
"scenario_micro_ai.cfg","2468","0","503","1965","1263","0"
"18_The_Portal_of_Doom.cfg","1657","0","338","1319","841","0"
"synced_choice_wait.cfg","221","0","55","166","94","0"
"Fire_Guardian2.cfg","43","0","11","32","19","0"
"Assassin.cfg","343","0","75","268","166","0"
"test_require.cfg","31","0","4","27","22","0"
"4p_Morituri.cfg","188","0","44","144","91","0"
"5p_Auction-X.cfg","247","0","59","188","118","0"
"recruiting.cfg","418","0","93","325","209","0"
"Loyalist_Heavy_Infantryman.cfg","189","0","41","148","98","0"
"low-macros.cfg","562","0","125","437","255","0"
"23_Epilogue.cfg","84","0","20","64","38","0"
"Gryphon.cfg","222","0","51","171","105","0"
"Soldier.cfg","178","0","38","140","93","0"
"Woodsman.cfg","349","0","80","269","164","0"
"drawing_default.cfg","18","0","5","13","8","0"
"mp_join_game.cfg","1148","0","278","870","496","0"
"Bat_Blood.cfg","51","0","12","39","25","0"
"amlas.cfg","3006","0","753","2253","1275","0"
"21_Elvish_Assassins.cfg","1457","0","329","1128","691","0"
"2p_The_Walls_of_Pyrennis.cfg","364","0","57","307","223","0"
"24_Epilogue.cfg","166","0","38","128","71","0"
"08_Out_of_the_Frying_Pan.cfg","12886","0","2590","10296","6683","0"
"chat_log.cfg","478","0","117","361","206","0"
"Hero.cfg","394","0","65","329","253","0"
"06_advanced.cfg","353","0","89","264","143","0"
"ru_RU.cfg","21","0","6","15","10","0"
"17_Mortality.cfg","1033","0","243","790","465","0"
"Youth.cfg","23","0","6","17","11","3"
"12_Giving_Some_Back.cfg","775","0","169","606","356","0"
"Corpse_Soulless.cfg","1355","0","271","1084","707","0"
"Kraken.cfg","700","0","163","537","317","0"
"scenario-formula-recruitment.cfg","158","0","38","120","68","0"
"02_The_Escape_Tunnel.cfg","1479","0","329","1150","690","0"
"mp_unit_test_macros.cfg","170","0","42","128","71","0"
"test_relative_dir.cfg","455","0","44","411","335","0"
"07_Return_to_Oldwood.cfg","1328","0","241","1087","754","0"
"Ogre.cfg","190","0","44","146","89","0"
"Skirmisher.cfg","416","0","83","333","225","0"
"Glider.cfg","282","0","55","227","154","0"
"editor_set_starting_position.cfg","430","0","107","323","184","0"
"Wayfarer.cfg","293","0","63","230","150","0"
"Outlaw_Footpad.cfg","452","0","103","349","206","0"
"11_Battle_of_the_Book.cfg","1000","0","206","794","505","0"
"umc.cfg","20","0","5","15","9","0"
"button_25x25.cfg","844","0","170","674","387","0"
"Ethereal_Shadow.cfg","85","0","21","64","34","0"
"Loyalist_Master_Bowman.cfg","328","0","72","256","160","0"
"Naga_Guardian.cfg","214","0","41","173","124","0"
"Fire_Guardian3.cfg","51","0","13","38","23","0"
"02_01_Infested_Caves.cfg","3207","0","718","2489","1475","0"
"14_Back_Home.cfg","2681","0","520","2161","1438","0"
"drakes-default.cfg","74","0","13","61","48","0"
"unit_advance.cfg","500","0","125","375","209","0"
"Dwarvish_Masked_Thunderguard.cfg","524","0","112","412","260","0"
"Random_Scenario.cfg","1080","0","176","904","676","0"
"Dark_Shape.cfg","67","0","17","50","34","0"
"07a_A_Small_Favor.cfg","2986","0","594","2392","1500","0"
"scenario-test.cfg","1742","0","30","1712","1677","3"
"break_replay_with_lua_random.cfg","214","0","10","204","188","0"
"03_The_Road_to_Weldyn.cfg","695","0","145","550","348","0"
"stable_singleplayer.cfg","11","0","2","9","8","0"
"Dwarvish_Masked_Lord.cfg","372","0","81","291","184","0"
"Whelp.cfg","208","0","47","161","99","0"
"diff.cfg","210","0","51","159","87","0"
"dialog-macros.cfg","257","0","60","197","110","0"
"Pillager.cfg","505","0","99","406","273","0"
"2p_Hornshark_Island.cfg","2771","0","672","2099","1063","0"
"window_default.cfg","474","0","116","358","192","0"
"04_Spring_of_Reprisal.cfg","1548","0","319","1229","771","0"
"2p_Fallenstar_Lake.cfg","128","0","30","98","62","0"
"2p_Silverhead_Crossing.cfg","341","0","80","261","161","0"
"4p_Geothermal.cfg","210","0","50","160","99","0"
"Hurricane.cfg","366","0","76","290","187","0"
"Haldric_II.cfg","184","0","41","143","90","0"
"1_A_Bargain_is_Struck.cfg","2812","0","631","2181","1310","0"
"et_EE.cfg","17","0","5","12","8","0"
"12_Northern_Winter.cfg","1243","0","257","986","612","0"
"Outrider.cfg","367","0","70","297","205","0"
"01_At_the_East_Gate.cfg","586","0","131","455","273","0"
"0004-filtered_combat.cfg","253","0","52","201","135","0"
"formula_debugger.cfg","649","0","160","489","279","0"
"Rocklobber.cfg","427","0","84","343","233","0"
"panel_default.cfg","34","0","9","25","12","0"
"15_Civil_War.cfg","1209","0","251","958","603","0"
"animals.cfg","1514","0","294","1220","817","0"
"tree_view_default.cfg","177","0","43","134","69","0"
"07a_Return_to_Kerlath.cfg","1720","0","333","1387","894","0"
"Apprentice_Mage.cfg","402","0","89","313","198","0"
"Enforcer.cfg","570","0","93","477","353","0"
"Guardsman.cfg","368","0","82","286","176","0"
"04_Leollyn.cfg","879","0","195","684","406","0"
"Loyalist_Grand_Marshal.cfg","452","0","88","364","246","0"
"player_list_panel.cfg","209","0","53","156","86","0"
"Water_Serpent.cfg","485","0","100","385","277","0"
"07_Elensefar.cfg","557","0","118","439","268","0"
"2p_Ruined_Passage.cfg","136","0","32","104","66","0"
"for-loops.cfg","889","0","75","814","670","0"
"05b_Isle_of_the_Damned.cfg","1903","0","413","1490","885","0"
"2t_In_the_Dwarven_City.cfg","916","0","200","716","441","0"
"Journeyman_Mage.cfg","50","0","12","38","25","0"
"time-of-day.cfg","188","0","45","143","76","0"
"16_Dark_Sky_Over_Weldyn.cfg","758","0","124","634","452","0"
"wesnoth-manpages.cfg","165","0","18","147","126","21"
"sighted_events.cfg","402","0","85","317","191","0"
"themes.cfg","22","0","6","16","10","0"
"tr_TR.cfg","17","0","5","12","8","0"
"13_Together_Again.cfg","648","0","151","497","287","0"
"Mage.cfg","873","0","202","671","394","0"
"09_Foothills.cfg","1180","0","262","918","555","0"
"ai_test.cfg","110","0","17","93","77","3"
"Spearmaster.cfg","269","0","57","212","138","0"
"Naga_Hunter.cfg","339","0","67","272","184","0"
"02_Hostile_Mountains.cfg","1908","0","425","1483","873","0"
"mp_create_game.cfg","2375","0","508","1867","1178","0"
"sg_deaths.cfg","298","0","71","227","131","0"
"Outlaw_Thug.cfg","213","0","42","171","119","0"
"toggle_panel_default.cfg","476","0","67","409","309","0"
"2p_Sullas_Ruins.cfg","426","0","93","333","211","0"
"undead-aoh.cfg","64","0","13","51","38","0"
"Wyvern_Rider.cfg","241","0","52","189","124","0"
"ai_default_rca_alternate_recruiting.cfg","132","0","28","104","58","0"
"Flameheart.cfg","295","0","57","238","161","0"
"Fire.cfg","280","0","54","226","156","0"
"Outlaw_Rogue.cfg","411","0","91","320","195","0"
"test_lua.cfg","31","0","4","27","22","0"
"07b_Talking_with_Trolls.cfg","1788","0","406","1382","819","0"
"Nightblade.cfg","495","0","99","396","268","0"
"Ixthala_Demon.cfg","240","0","48","192","133","0"
"Spirit_Shadow.cfg","696","0","108","588","442","0"
"messenger_escort.cfg","701","0","147","554","352","0"
"02_Dark_Business.cfg","2867","0","603","2264","1400","0"
"Windbolt.cfg","288","0","61","227","151","0"
"pathfind_answers.cfg","33","0","9","24","17","0"
"campaign_difficulty.cfg","502","0","125","377","212","0"
"ar_AR.cfg","46","0","8","38","31","0"
"04_The_Elvish_Treasury.cfg","1255","0","276","979","589","9"
"sg_utils.cfg","53","0","11","42","33","3"
"filter_this_unit.cfg","249","0","11","238","219","0"
"Alien_Body.cfg","850","0","178","672","440","4"
"2p_Swamp_of_Dread.cfg","128","0","30","98","62","0"
"aspect_complex.cfg","892","0","188","704","404","0"
"Gorer.cfg","539","0","128","411","249","0"
"simple_attack.cfg","775","0","152","623","412","0"
"08_The_Princess_of_Wesnoth.cfg","1288","0","290","998","592","0"
"knalgans-default.cfg","61","0","12","49","37","0"
"10_Gryphon_Mountain.cfg","1770","0","366","1404","854","0"
"test_role_types.cfg","462","0","29","433","379","0"
"09_Xenophobia.cfg","1377","0","293","1084","671","0"
"game_save_message.cfg","342","0","85","257","147","0"
"castle-transitions.cfg","439","0","114","325","164","0"
"hotkey_bind.cfg","79","0","20","59","33","0"
"Leader.cfg","387","0","71","316","221","0"
"da_DK.cfg","17","0","5","12","8","0"
"bridge.cfg","2338","0","452","1886","1064","0"
"02_Civil_Disobedience.cfg","1242","0","243","999","646","0"
"button_default.cfg","1057","0","209","848","484","0"
"game_cache_options.cfg","543","0","133","410","235","0"
"Sleeping_Gryphon.cfg","141","0","32","109","71","0"
"2p_Clearing_Gushes.cfg","136","0","32","104","66","0"
"Undead_Horseman.cfg","239","0","55","184","113","0"
"Direwolf_Rider.cfg","436","0","85","351","235","0"
"Elder_Falcon.cfg","260","0","58","202","124","0"
"Troll.cfg","193","0","43","150","94","0"
"test_grunt_tod_damage.cfg","693","0","150","543","329","0"
"mp_connect.cfg","683","0","169","514","295","0"
"select_orb_colors.cfg","461","0","107","354","194","0"
"Dummy.cfg","70","0","18","52","35","0"
"01_End_of_Peace.cfg","862","0","188","674","414","0"
"simple_aspect.cfg","321","0","21","300","265","0"
"editor_new_map.cfg","391","0","97","294","170","0"
"18_Epilogue.cfg","832","0","184","648","396","0"
"Mage_Magister.cfg","113","0","26","87","53","0"
"2p_The_Freelands.cfg","128","0","30","98","62","0"
"map-utils.cfg","1318","0","293","1025","613","0"
"pbl.cfg","88","0","10","78","72","6"
"4p_Blue_Water_Province.cfg","192","0","44","148","95","0"
"11_Battle_for_Zocthanol_Isle.cfg","4182","0","888","3294","2064","0"
"06b_In_the_Domain_of_Dwarves.cfg","4984","0","1040","3944","2489","0"
"debug-utils.cfg","162","0","43","119","62","0"
"Wose_Shaman.cfg","362","0","78","284","189","0"
"idle.cfg","11","0","2","9","8","0"
"Hunter.cfg","385","0","84","301","192","0"
"18_Abandoned_Outpost.cfg","1396","0","320","1076","628","0"
"2p_Weldyn_Channel.cfg","128","0","30","98","62","0"
"Slayer.cfg","340","0","66","274","187","0"
"store_locations.cfg","124","0","11","113","94","0"
"deaths.cfg","311","0","75","236","137","0"
"Warrior.cfg","290","0","57","233","158","0"
"Mage_Silver.cfg","769","0","167","602","388","0"
"addon_manager.cfg","2515","0","615","1900","1092","0"
"14_Rough_Landing.cfg","1287","0","267","1020","667","0"
"_initial.cfg","2137","0","499","1638","975","3"
"22_Northern_Battle.cfg","1275","0","275","1000","612","0"
"gui.cfg","5879","0","1296","4583","2812","0"
"edit_label.cfg","343","0","85","258","147","0"
"generator_settings.cfg","526","0","114","412","253","0"
"09_Houses_of_the_Undead.cfg","1903","0","376","1527","989","0"
"leading_space.cfg","13","0","3","10","8","0"
"10a_Stolen_Gold.cfg","3679","0","781","2898","1778","0"
"Bat_Vampire.cfg","51","0","12","39","25","0"
"21_Clash_at_the_Manor.cfg","1474","0","307","1167","713","0"
"Necromancer.cfg","231","0","52","179","119","0"
"feeding.cfg","547","0","57","490","394","0"
"Skele_Draug.cfg","227","0","52","175","107","0"
"Dustbok.cfg","202","0","36","166","124","0"
"castles.cfg","381","0","96","285","144","0"
"Old_Orcish_Shaman.cfg","345","0","76","269","172","0"
"test_menu_items.cfg","76","0","9","67","52","0"
"journey_chapter1.cfg","298","0","54","244","146","0"
"traits.cfg","40","0","10","30","20","0"
"Lord.cfg","562","0","116","446","282","0"
"11_Wasteland.cfg","1104","0","238","866","522","0"
"Ranger.cfg","358","0","72","286","188","0"
"Gryphon_Rider.cfg","220","0","50","170","106","0"
"aspect_simple.cfg","272","0","57","215","113","0"
"17b_Weldyn_Besieged.cfg","2049","0","453","1596","951","0"
"repeating_button_scrollbar.cfg","421","0","94","327","184","0"
"20_Council_Ruling.cfg","301","0","65","236","147","0"
"journey_chapter3.cfg","1315","0","231","1084","635","0"
"dragon.cfg","437","0","97","340","213","0"
"09b_Bandit_Epilogue.cfg","106","0","25","81","52","0"
"15_Mountain_Pass.cfg","1124","0","254","870","504","0"
"Loyalist_Bowman.cfg","296","0","65","231","147","0"
"25_HttT_Epilogue.cfg","198","0","47","151","87","0"
"terrain-utils.cfg","188","0","47","141","72","0"
"0003-simple_combat.cfg","110","0","27","83","49","0"
"4p_Loris_River.cfg","188","0","44","144","91","0"
"Oracle.cfg","391","0","75","316","212","0"
"Mudcrawler.cfg","232","0","52","180","115","0"
"Priestess.cfg","353","0","77","276","173","0"
"patrols.cfg","974","0","216","758","472","0"
"names.cfg","254","0","57","197","142","0"
"11_Clash_of_Armies.cfg","3689","0","718","2971","1906","0"
"08_Silent_Forest.cfg","1210","0","269","941","563","0"
"05_multiplayer.cfg","1238","0","271","967","600","0"
"editor_generate_map.cfg","500","0","124","376","207","0"
"drop_down_list.cfg","350","0","83","267","160","0"
"lurkers.cfg","1779","0","306","1473","1049","0"
"Marksman.cfg","367","0","70","297","205","0"
"formula.cfg","53","0","11","42","27","12"
"18_Hour_of_Glory.cfg","411","0","72","339","241","0"
"toggle_button_radio.cfg","376","0","87","289","143","0"
"09a_Introductions.cfg","1331","0","287","1044","633","0"
"Spider_Lich.cfg","478","0","102","376","244","0"
"Clasher.cfg","512","0","85","427","311","0"
"04_Return_to_the_Village.cfg","1116","0","243","873","537","0"
"2p_Thousand_Stings_Garrison.cfg","960","0","140","820","596","0"
"03_An_Unexpected_Appearance.cfg","825","0","169","656","416","0"
"Woodsman_Ranger.cfg","372","0","82","290","184","0"
"gl_ES.cfg","17","0","5","12","8","0"
"horizontal_scrollbar_default.cfg","309","0","69","240","136","0"
"abilities.cfg","55","0","14","41","26","0"
"side.cfg","112","0","20","92","60","0"
"dunefolk-aoh.cfg","91","0","13","78","65","0"
"scroll_label_default.cfg","244","0","58","186","96","0"
"Horseman.cfg","325","0","70","255","159","0"
"07_Crossroads.cfg","1642","0","340","1302","813","0"
"scenario-lua_ai_old_syntax.cfg","336","0","81","255","156","0"
"graphics.cfg","266","0","50","216","130","0"
"macros.cfg","256","0","40","216","154","0"
"King_of_Wesnoth.cfg","59","0","14","45","28","0"
"19_Lava_and_Stone.cfg","536","0","115","421","259","0"
"05_To_the_Harbor_of_Tirigaz.cfg","986","0","224","762","443","0"
"Battle_Princess.cfg","886","0","171","715","472","0"
"15_The_Treaty.cfg","480","0","87","393","276","0"
"wov-macros.cfg","108","0","26","82","48","0"
"gates.cfg","941","0","202","739","453","0"
"Corpse_Walking.cfg","1352","0","270","1082","707","0"
"pt_BR.cfg","17","0","5","12","8","0"
"13a_Showdown.cfg","4126","0","851","3275","1998","0"
"Sun_Singer.cfg","464","0","94","370","252","0"
"Necro_Ancient_Lich.cfg","579","0","124","455","295","0"
"test_dofile.cfg","74","0","11","63","44","0"
"03_The_Isle_of_Alduin.cfg","1088","0","246","842","498","0"
"Loyalist_Cavalier.cfg","342","0","77","265","165","0"
"02_Flight.cfg","2748","0","597","2151","1286","0"
"Dark_Queen.cfg","386","0","82","304","201","0"
"test_cve_2018_1999023.cfg","61","0","13","48","29","0"
"racv.cfg","17","0","5","12","8","0"
"Woodsman_Trapper.cfg","389","0","85","304","189","0"
"03_A_Harrowing_Escape.cfg","1497","0","286","1211","811","0"
"attack_predictions.cfg","824","0","188","636","363","0"
"minimap_default.cfg","95","0","24","71","37","0"
"walls.cfg","2260","0","415","1845","1066","0"
"Horse_Archer.cfg","278","0","58","220","149","0"
"04a_An_Elven_Alliance.cfg","1064","0","236","828","502","0"
"Sailor.cfg","128","0","29","99","66","0"
"Cave_Spider.cfg","54","0","13","41","26","0"
"06_Temple_in_the_Deep.cfg","1234","0","236","998","651","0"
"04b_The_Undead_Border_Patrol.cfg","797","0","177","620","369","0"
"Skeleton_Rider.cfg","248","0","57","191","116","0"
"11_Getting_Help.cfg","600","0","137","463","281","0"
"title_screen.cfg","1032","0","237","795","448","0"
"builder.cfg","256","0","51","205","119","30"
"Wolf_Rider.cfg","411","0","69","342","250","0"
"01_A_Summer_of_Storms.cfg","1079","0","220","859","561","0"
"15_The_Council.cfg","589","0","132","457","284","0"
"test_movetype.cfg","1360","0","264","1096","689","0"
"journey_chapter2.cfg","466","0","84","382","224","0"
"Jinn.cfg","184","0","41","143","90","0"
"music.cfg","10","0","3","7","4","0"
"_main.cfg","60","0","14","46","27","0"
"scroll_label_verbatim.cfg","236","0","58","178","93","0"
"wesnoth-wml-additions.cfg","65","0","18","47","19","0"
"Noble_Fighter.cfg","190","0","42","148","95","0"
"12_The_Final_Confrontation.cfg","3817","0","825","2992","1814","0"
"Dwarvish_Masked_Steelclad.cfg","292","0","63","229","148","0"
"Frontier_Baroness.cfg","403","0","92","311","187","0"
"0001-healing.cfg","327","0","63","264","175","0"
"Zephyr.cfg","324","0","73","251","159","0"
"listbox_wml_message.cfg","249","0","61","188","96","0"
"06_The_Three_Sisters.cfg","1075","0","222","853","515","0"
"internal-border.cfg","1079","0","258","821","452","0"
"5p_Forest_of_Fear.cfg","223","0","53","170","106","0"
"tiny_resolution.cfg","840","0","209","631","325","0"
"sl_SI.cfg","17","0","5","12","8","0"
"Sunderer.cfg","289","0","61","228","153","0"
"Dwarvish_Masked_Dragonguard.cfg","509","0","111","398","247","0"
"Divine_Incarnation.cfg","74","0","18","56","34","0"
"facing.cfg","217","0","25","192","151","0"
"4p_Bath_of_Glory.cfg","250","0","60","190","117","0"
"Giant_Scorpling.cfg","333","0","68","265","179","0"
"Dwarvish_Rune_Lord.cfg","834","0","151","683","512","0"
"test_berzerk_firststrike.cfg","174","0","13","161","139","0"
"SotA_Soulless.cfg","1447","0","288","1159","746","0"
"game_stats.cfg","1986","0","485","1501","848","0"
"Loyalist_Javelineer.cfg","337","0","77","260","157","0"
"Delinquent.cfg","294","0","65","229","147","0"
"Loyalist_Spearman.cfg","558","0","125","433","260","0"
"trow-macros.cfg","342","0","92","250","116","0"
"loyalists-default.cfg","63","0","13","50","37","0"
"actionwml.cfg","7225","0","1375","5850","3468","0"
"04c_Mal-Ravanals_Capital.cfg","1859","0","388","1471","951","0"
"intro.cfg","207","0","40","167","113","0"
"side-utils.cfg","628","0","149","479","242","0"
"ai_controller.cfg","3610","0","693","2917","1820","0"
"19c_Cliffs_of_Thoria.cfg","3262","0","666","2596","1639","0"
"14_Approaching_Weldyn.cfg","833","0","181","652","394","0"
"Death_Squire.cfg","224","0","51","173","104","0"
"03_Strange_Allies.cfg","881","0","193","688","420","0"
"outro.cfg","156","0","40","116","62","0"
"02_The_Chase.cfg","1885","0","401","1484","934","0"
"mp_login.cfg","553","0","137","416","237","0"
"undead-default.cfg","64","0","13","51","38","0"
"02_Peaceful_Valley.cfg","1571","0","323","1248","778","0"
"Random_Scenario_Winter.cfg","977","0","161","816","609","0"
"menu_button_default.cfg","504","0","113","391","221","0"
"Wose_Sapling.cfg","218","0","49","169","105","0"
"Noble.cfg","67","0","17","50","34","0"
"mp_host_game_prompt.cfg","287","0","71","216","125","0"
"4p_Paths_of_Daggers.cfg","188","0","44","144","91","0"
"Dirkfang.cfg","308","0","68","240","157","0"
"Sovereign.cfg","390","0","72","318","221","0"
"heal.cfg","556","0","50","506","426","0"
